id,专利类型,案件受理年份,案件判决年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
426,1,2017,2017,0,0,0,1,1,6,0,3,5,1,0
427,1,2018,2018,0,1,1,0,0,1,0,4,5,0,4
428,1,2015,2016,0,0,1,1,1,5,6,7,4,0,4
429,1,2016,2016,0,1,0,1,1,6,4,6,5,0,2
430,1,2019,2019,0,1,1,1,1,6,0,2,5,0,4
431,1,2016,2016,0,0,0,1,1,6,0,3,5,0,1
432,1,2015,2016,0,0,0,1,1,6,3,3,5,0,2
433,1,2014,2015,0,0,0,1,1,4,5,4,4,1,0
434,1,2017,2018,0,0,0,1,1,4,4,3,5,0,3
435,1,2017,2017,0,0,0,1,1,6,2,2,5,0,2
436,1,2017,2019,0,0,0,1,1,4,4,4,5,0,3
437,1,2019,2019,0,0,0,1,1,6,0,2,5,1,0
438,1,2018,2018,0,0,1,0,1,6,2,2,2,1,0
439,1,2018,2018,0,0,1,0,1,6,2,2,5,1,0
440,1,2018,2018,0,0,1,0,1,6,2,2,5,1,0
441,1,2015,2015,0,0,1,0,1,6,5,3,4,1,0
442,1,2015,2015,0,0,1,1,1,4,5,3,4,0,3
443,1,2017,2017,0,0,1,1,1,6,0,5,5,1,0
444,1,2015,2016,0,0,1,1,1,6,5,3,5,0,5
445,1,2017,2017,0,0,1,0,1,2,2,7,5,0,2
446,1,2016,2017,0,0,1,0,1,4,0,3,4,1,0
447,1,2015,2015,0,0,0,0,1,3,2,5,5,0,1
448,1,2018,2018,0,0,0,0,0,2,2,2,5,0,2
449,1,2018,2019,0,0,0,0,1,2,3,2,5,0,2
450,1,2017,2017,0,0,0,0,1,3,2,2,5,0,2
451,1,2017,2017,0,0,0,0,1,6,3,2,5,1,0
452,1,2015,2015,0,0,0,1,0,3,4,3,5,0,2
453,1,2016,2017,0,0,0,0,0,2,2,4,3,0,1
454,1,2016,2016,0,0,0,0,1,3,2,4,5,0,3
455,1,2015,2015,0,0,0,0,0,1,0,3,5,0,3
456,1,2017,2017,0,0,0,0,0,2,2,4,4,0,2
457,1,2015,2015,0,0,0,0,0,1,2,4,4,0,2
458,1,2014,2015,0,0,0,0,0,1,2,1,5,0,1
459,1,2015,2015,0,0,0,1,0,1,0,5,5,0,2
460,1,2015,2015,0,0,0,1,0,1,0,5,5,0,2
461,1,2017,2017,0,0,0,0,0,2,2,4,4,0,2
462,1,2016,2016,0,0,0,0,0,1,4,3,5,0,2
463,1,2015,2015,0,0,0,0,0,2,0,3,5,0,2
464,1,2015,2016,0,0,0,0,0,2,3,3,5,0,2
465,1,2015,2015,0,0,0,1,0,1,2,4,4,0,2
466,1,2018,2019,0,0,0,1,0,3,3,3,5,0,2
467,1,2015,2016,0,0,1,1,1,3,5,3,5,0,4
468,1,2017,2018,0,1,0,0,1,4,3,3,4,0,2
469,1,2016,2018,0,0,1,1,1,6,5,3,5,0,5
470,1,2017,2018,0,0,0,0,1,4,0,4,5,0,3
471,1,2016,2016,0,0,0,0,0,1,0,4,3,1,0
472,1,2016,2016,0,1,0,0,1,4,1,3,2,1,0
473,1,2016,2017,0,0,0,0,1,2,4,4,4,0,4
474,1,2014,2015,0,1,0,1,1,6,3,3,5,0,2
475,1,2018,2019,0,0,0,0,1,6,5,3,5,0,4
476,1,2016,2017,0,0,0,1,1,6,5,3,5,1,0
477,1,2017,2017,0,0,1,0,1,6,0,5,4,1,0
478,1,2016,2016,0,0,1,0,1,6,4,3,5,1,0
479,1,2014,2016,0,1,1,1,1,6,4,3,5,1,0
480,1,2018,2019,0,0,1,0,1,6,5,3,5,0,5
481,1,2017,2018,0,0,0,0,0,2,2,3,5,0,2
482,1,2016,2016,0,0,0,1,1,6,0,3,3,0,2
483,1,2018,2019,0,0,0,0,0,2,2,3,2,0,2
484,1,2016,2016,0,0,0,1,1,6,0,3,4,0,2
485,1,2017,2018,0,0,0,0,1,3,2,3,5,0,2
486,1,2018,2019,0,0,0,0,0,1,2,4,5,0,2
487,1,2018,2019,0,0,0,0,0,2,2,4,5,0,2
488,1,2018,2019,0,0,0,0,0,1,2,4,5,0,2
489,1,2017,2018,0,0,0,0,0,2,2,4,4,0,2
490,1,2018,2018,0,0,0,1,1,3,5,3,5,1,0
491,1,2017,2018,0,0,0,0,0,1,4,3,5,0,2
492,1,2017,2018,0,0,0,0,0,1,4,3,5,0,2
493,1,2017,2018,0,0,0,1,1,6,4,3,5,0,2
494,1,2017,2017,0,0,1,0,1,5,0,3,4,0,3
495,1,2017,2018,0,0,0,1,1,4,4,3,5,0,3
496,2,2016,2018,0,0,0,0,1,6,4,2,5,1,0
497,2,2016,2017,0,0,0,0,0,2,0,3,4,0,1
498,2,2016,2017,0,0,0,1,1,3,2,4,5,0,2
499,2,2017,2017,0,0,0,1,0,1,2,4,5,0,2
500,2,2016,2016,0,0,0,1,1,4,2,4,3,0,1
501,2,2017,2017,0,0,0,0,0,2,2,7,5,0,2
502,2,2016,2017,0,0,1,1,1,4,6,3,5,0,4
503,2,2016,2017,0,0,1,0,1,5,4,3,5,1,0
504,2,2015,2015,0,0,1,1,1,4,4,3,5,1,0
505,2,2015,2015,0,0,1,0,1,3,2,4,2,0,2
506,2,2014,2015,0,0,1,0,0,1,0,5,5,1,0
507,2,2017,2017,0,0,1,1,1,6,5,3,4,0,4
508,2,2016,2017,0,0,1,0,1,3,3,3,5,1,0
509,2,2017,2018,0,1,1,1,1,4,3,3,5,0,4
510,2,2015,2015,0,0,1,1,1,6,1,3,5,0,1
511,2,2015,2016,0,0,1,0,1,3,3,3,5,0,1
512,2,2015,2016,0,0,1,0,1,3,3,3,5,0,1
513,2,2018,2018,0,0,0,0,1,3,4,3,2,1,0
514,2,2016,2017,0,0,1,1,1,4,4,3,5,0,4
515,2,2015,2016,0,0,1,0,1,3,5,3,5,0,4
516,2,2017,2017,0,0,0,1,0,1,0,6,5,0,2
517,2,2017,2017,0,0,0,1,1,4,0,6,5,0,5
518,2,2015,2015,0,0,1,0,1,2,0,6,4,1,0
519,2,2017,2017,0,0,0,1,1,3,0,6,5,0,2
520,2,2017,2017,0,0,1,0,1,2,0,6,5,0,1
521,2,2015,2016,0,0,1,0,0,2,2,7,5,0,2
522,2,2015,2016,0,0,1,1,1,6,4,4,4,1,0
523,2,2014,2016,0,0,1,0,1,4,0,4,3,0,3
524,2,2017,2019,0,0,1,1,1,6,5,4,4,1,0
525,2,2016,2017,0,0,1,1,1,6,0,4,4,0,2
526,2,2018,2019,0,0,1,0,1,5,4,4,4,1,0
527,2,2019,2019,0,0,1,0,0,1,2,1,5,0,1
528,2,2017,2017,0,0,1,1,1,6,4,4,5,0,3
529,2,2015,2016,0,0,1,0,1,4,3,4,5,0,3
530,2,2018,2018,0,0,1,0,1,3,4,4,5,0,2
531,2,2015,2016,0,0,1,0,1,3,3,4,4,1,0
532,2,2017,2018,0,0,1,0,1,4,2,4,5,0,2
533,2,2015,2017,0,0,1,0,1,3,3,4,5,0,2
534,2,2017,2017,0,0,1,0,1,3,2,4,5,0,2
535,2,2016,2017,0,0,1,1,1,6,2,4,5,0,2
536,2,2015,2016,0,0,1,0,0,1,2,4,5,0,2
537,2,2014,2015,0,0,1,1,1,6,2,3,4,0,2
538,2,2018,2019,0,0,1,1,1,6,2,4,5,0,2
539,2,2017,2018,0,0,1,1,1,6,2,4,5,0,1
540,2,2016,2017,0,0,1,1,1,6,2,4,5,0,2
541,2,2016,2016,0,0,1,0,0,1,2,4,5,0,1
542,2,2014,2015,0,0,1,1,1,6,0,3,5,0,2
543,2,2015,2016,0,0,1,1,1,6,5,3,5,0,1
544,2,2014,2015,0,0,0,0,0,1,3,3,5,0,2
545,2,2015,2016,0,0,1,1,1,6,4,4,5,0,2
546,2,2016,2016,0,0,1,1,1,4,3,4,5,0,3
547,2,2016,2016,0,0,1,1,1,6,0,4,5,0,2
548,2,2015,2016,0,0,1,0,1,4,3,3,4,0,2
549,2,2016,2016,0,0,1,0,0,1,4,3,4,1,0
550,2,2013,2016,0,1,1,0,0,1,0,7,4,0,3
551,2,2018,2018,1,1,1,0,0,1,0,6,5,0,1
552,2,2017,2018,0,0,1,1,1,6,3,4,4,1,0
553,2,2018,2019,0,0,0,0,0,1,0,4,5,0,1
554,2,2015,2015,0,0,1,0,1,3,4,4,4,0,2
555,2,2016,2017,0,0,1,1,1,4,3,3,5,0,2
556,2,2017,2019,0,0,1,1,1,6,0,4,5,1,0
557,2,2015,2015,0,0,1,0,1,3,2,4,5,1,0
558,2,2017,2018,0,0,1,0,1,3,0,4,5,0,1
559,2,2017,2017,0,0,1,1,1,5,2,4,5,0,2
560,2,2016,2017,0,0,1,0,1,3,4,4,5,0,2
561,2,2016,2017,0,0,1,0,1,4,4,4,3,0,2
562,2,2016,2017,0,0,1,0,1,3,4,4,5,0,2
563,2,2016,2017,0,0,1,0,0,2,3,4,5,0,2
564,2,2015,2016,0,0,1,1,1,4,3,4,5,0,2
565,2,2016,2017,0,0,1,1,0,3,3,4,5,0,2
566,2,2017,2018,0,0,1,0,1,2,0,4,5,0,2
567,2,2017,2017,0,1,1,0,0,1,0,4,5,0,1
568,2,2017,2017,0,0,1,0,1,6,4,3,3,0,3
569,2,2018,2019,0,0,1,0,0,2,2,7,5,0,2
570,2,2018,2019,0,0,1,0,0,2,2,7,4,0,2
571,2,2018,2018,0,0,1,1,1,6,2,1,5,0,2
572,2,2017,2018,0,0,1,1,0,3,0,3,5,0,2
573,2,2017,2017,0,0,1,0,0,2,2,3,5,0,1
574,2,2017,2017,0,0,1,0,0,2,2,3,5,0,1
575,2,2018,2018,0,0,1,0,0,2,2,3,5,0,1
576,2,2018,2018,0,0,1,0,0,2,2,4,4,0,2
577,2,2018,2018,0,0,1,0,0,1,2,4,4,0,2
578,2,2018,2018,0,0,1,0,0,2,2,1,5,1,0
579,2,2017,2017,0,0,1,1,1,4,2,3,5,0,2
580,2,2017,2018,0,0,1,1,1,5,2,1,5,0,2
581,2,2018,2018,0,0,1,0,0,1,2,3,5,0,2
582,2,2018,2018,0,0,1,0,0,2,2,3,5,0,2
583,2,2017,2018,0,0,1,0,0,2,2,1,5,0,1
584,2,2015,2015,0,0,1,0,1,2,5,4,5,0,4
585,2,2018,2018,0,0,0,1,0,1,2,6,5,0,2
586,2,2018,2018,0,0,0,1,1,6,0,3,3,0,1
587,2,2018,2018,0,0,0,1,1,6,0,3,3,0,1
588,2,2018,2018,0,0,0,1,1,6,0,3,3,0,1
589,2,2018,2018,0,0,0,1,1,6,0,3,3,0,1
590,2,2017,2018,0,0,1,1,1,6,5,1,5,0,3
591,2,2016,2016,0,0,0,1,1,6,3,4,4,0,1
592,2,2015,2015,0,0,0,1,1,3,1,3,5,0,2
593,2,2016,2017,0,1,1,0,1,3,3,3,5,0,2
594,2,2018,2018,0,0,0,1,1,4,0,4,5,0,2
595,2,2015,2016,0,1,1,0,0,2,4,3,5,0,2
596,2,2018,2018,0,0,0,0,1,6,0,4,5,0,4
597,2,2015,2015,0,0,0,0,0,1,0,4,5,0,1
598,2,2014,2015,0,0,1,1,1,4,6,4,5,0,6
599,2,2018,2019,0,0,1,0,1,3,5,4,4,1,0
600,2,2017,2018,0,0,1,1,1,6,4,4,3,1,0
601,2,2016,2016,0,0,1,1,1,6,0,4,5,1,0
602,2,2018,2018,0,0,0,0,0,1,0,4,5,0,2
603,2,2014,2015,0,0,1,0,0,2,0,4,4,1,0
604,2,2017,2017,0,0,1,0,1,4,2,4,3,1,0
605,2,2019,2019,0,1,1,0,0,1,0,4,5,0,1
606,2,2018,2018,0,0,1,0,0,2,3,4,4,1,0
607,2,2018,2019,0,0,1,1,1,5,4,3,5,0,4
608,2,2017,2017,0,0,1,0,0,2,3,4,4,0,2
609,2,2017,2017,0,0,1,1,1,6,3,4,5,0,2
610,2,2015,2016,0,0,1,1,1,4,4,4,5,1,0
611,2,2016,2017,0,0,1,0,1,5,5,3,5,0,4
612,2,2018,2019,0,0,0,0,0,2,0,4,3,1,0
613,2,2017,2017,0,0,0,1,1,4,0,2,4,1,0
614,2,2016,2016,0,0,0,0,1,3,2,3,5,0,2
615,2,2016,2016,0,0,0,0,1,6,3,3,4,0,2
616,2,2015,2016,0,0,0,0,0,1,0,4,4,1,0
617,2,2017,2018,0,0,0,1,1,6,2,4,5,0,2
618,2,2015,2017,0,0,0,1,1,3,0,4,4,0,2
619,2,2017,2019,0,0,0,0,0,1,3,4,4,1,0
620,2,2015,2016,0,0,0,0,1,2,3,4,4,0,2
621,2,2014,2015,0,0,0,0,0,1,3,4,5,0,3
622,2,2015,2016,0,0,0,0,1,2,2,4,3,1,0
623,2,2016,2017,0,0,0,0,1,2,4,7,5,0,3
624,2,2017,2018,0,0,0,0,1,2,2,4,5,1,0
625,2,2015,2016,0,0,0,0,0,1,0,2,5,0,2
626,2,2016,2016,0,0,0,0,1,3,2,4,5,1,0
627,2,2015,2015,0,0,0,1,1,5,0,3,5,0,2
628,2,2016,2016,0,0,1,0,1,2,3,6,4,0,2
629,2,2018,2018,0,0,1,0,1,5,4,7,4,1,0
630,2,2015,2015,0,0,1,0,0,2,2,1,5,1,0
631,2,2015,2015,0,0,1,0,0,1,2,1,5,1,0
632,2,2015,2015,0,0,1,0,0,1,2,1,5,1,0
633,2,2015,2015,0,0,1,0,0,1,2,1,5,1,0
634,2,2015,2015,0,0,1,0,0,1,2,1,5,1,0
635,2,2015,2015,0,0,1,0,0,2,2,1,5,1,0
636,2,2015,2015,0,0,1,0,1,6,3,4,3,1,0
637,2,2015,2015,0,0,1,0,1,6,3,1,4,1,0
638,2,2018,2018,0,0,1,0,1,6,4,3,4,1,0
639,2,2015,2015,0,0,1,0,1,4,5,2,4,1,0
640,2,2016,2017,0,0,1,0,1,3,4,1,4,1,0
641,2,2018,2019,0,0,1,1,1,4,2,4,5,0,2
642,2,2018,2018,0,0,1,1,1,5,4,2,4,1,0
643,2,2017,2018,0,0,1,1,1,6,4,3,5,0,3
644,2,2017,2017,0,0,1,0,0,1,0,3,5,0,2
645,2,2014,2015,0,0,1,0,1,2,0,3,3,0,2
646,2,2019,2019,0,0,1,0,1,4,5,3,5,1,0
647,2,2016,2016,0,0,0,0,1,4,4,3,4,0,2
648,2,2017,2017,0,0,0,0,0,1,2,1,5,1,0
649,2,2016,2017,0,0,0,0,0,1,0,1,5,0,2
650,2,2019,2019,0,0,0,0,1,3,0,5,3,0,2
651,2,2018,2018,0,0,1,0,0,1,0,1,5,0,1
652,2,2014,2016,0,0,1,1,1,3,0,1,5,0,3
653,2,2016,2017,0,0,1,0,1,6,0,1,4,1,0
654,2,2015,2016,0,0,0,0,1,2,2,6,5,1,0
655,2,2016,2016,0,0,0,0,0,1,0,1,5,0,2
656,2,2015,2015,0,0,0,0,0,1,0,1,5,0,3
657,2,2015,2016,0,0,0,0,1,6,0,1,4,1,0
658,2,2019,2019,0,0,1,1,1,3,0,4,4,1,0
659,2,2019,2019,0,0,1,0,1,2,0,4,4,1,0
660,2,2015,2016,0,0,1,0,1,2,0,1,3,1,0
661,2,2016,2017,0,0,0,0,1,4,0,1,5,0,3
662,2,2018,2018,0,0,1,0,1,2,2,6,4,0,1
663,2,2017,2017,0,0,1,0,0,1,0,1,5,0,1
664,2,2017,2017,0,0,1,0,0,1,0,1,5,0,1
665,2,2017,2017,0,0,1,0,0,1,0,1,5,1,0
666,2,2017,2017,0,0,1,0,0,2,0,1,5,0,1
667,2,2017,2017,0,0,1,0,0,2,0,1,5,0,1
668,2,2017,2017,0,0,1,0,1,3,0,1,5,0,1
669,2,2017,2018,0,0,1,0,1,2,2,6,5,0,1
670,2,2016,2017,0,0,0,1,1,6,3,6,5,0,2
671,2,2017,2017,0,0,0,0,1,3,0,1,5,1,0
672,2,2017,2017,0,0,0,0,1,3,0,1,5,1,0
673,2,2017,2017,0,0,0,0,1,3,0,1,5,1,0
674,2,2017,2017,0,0,0,0,1,6,0,1,5,1,0
675,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
676,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
677,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
678,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
679,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
680,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
681,2,2017,2017,0,0,0,0,1,4,0,1,5,1,0
682,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
683,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
684,2,2017,2017,0,0,0,0,0,2,0,1,5,1,0
685,2,2017,2017,0,0,0,0,1,3,0,1,5,1,0
686,2,2017,2017,0,0,0,0,1,5,0,1,5,1,0
687,2,2017,2017,0,0,0,0,1,4,0,1,5,1,0
688,2,2017,2017,0,0,0,0,1,3,0,1,5,1,0
689,2,2016,2016,0,0,0,0,0,1,3,2,5,0,2
690,2,2017,2019,0,0,1,1,1,6,4,3,4,1,0
691,2,2015,2015,0,0,1,1,1,6,6,3,5,0,2
692,2,2018,2018,0,0,1,0,0,2,0,4,4,1,0
693,2,2017,2018,0,0,1,0,1,6,5,3,3,1,0
694,2,2016,2017,0,0,1,1,1,5,6,3,5,1,0
695,2,2017,2017,0,1,1,1,1,3,0,1,5,0,2
696,2,2017,2017,0,1,1,1,1,3,2,1,5,1,0
697,2,2017,2017,0,0,1,0,0,1,2,3,5,0,1
698,2,2017,2017,0,0,1,0,0,1,2,3,5,0,1
699,2,2015,2016,0,0,1,0,0,1,2,3,5,0,1
700,2,2017,2017,0,0,1,0,0,1,2,3,5,0,1
701,2,2017,2017,0,0,1,0,1,4,2,3,5,0,1
702,2,2015,2015,0,0,1,0,0,1,0,3,5,0,1
703,2,2015,2015,0,0,1,0,0,1,0,3,5,0,1
704,2,2015,2015,0,0,1,0,0,1,0,3,5,0,1
705,2,2018,2018,0,0,1,0,0,1,2,3,5,0,2
706,2,2018,2018,0,0,1,0,0,1,2,3,5,0,2
707,2,2016,2016,0,0,0,0,0,2,2,1,5,0,2
708,2,2016,2016,0,0,0,0,0,2,2,1,5,0,2
709,2,2016,2016,0,0,0,1,0,3,4,4,4,0,2
710,2,2019,2019,0,0,1,0,0,2,4,3,5,0,1
711,2,2017,2017,0,0,1,0,1,6,2,3,5,0,2
712,2,2017,2018,0,0,0,0,1,4,2,3,5,0,2
713,2,2016,2017,0,0,0,0,1,2,0,1,5,1,0
714,2,2018,2018,0,0,1,1,1,4,4,3,5,0,2
715,2,2014,2015,0,0,1,0,1,4,3,3,5,0,1
716,2,2017,2019,0,0,0,0,0,2,3,1,5,1,0
717,2,2014,2015,0,0,0,1,1,4,2,4,4,0,1
718,2,2014,2015,0,0,0,0,1,3,2,4,4,0,1
719,2,2014,2015,0,0,0,0,1,3,2,4,4,0,1
720,2,2014,2015,0,0,0,0,1,4,2,4,4,0,1
721,2,2017,2019,0,0,0,0,1,2,3,4,4,1,0
722,2,2019,2019,0,0,0,1,1,6,2,3,5,0,2
723,2,2016,2017,0,0,1,0,1,6,3,3,4,1,0
724,2,2018,2018,0,0,0,0,1,4,2,3,4,1,0
725,2,2015,2015,0,0,0,0,1,3,4,4,5,0,2
726,2,2015,2016,0,0,0,0,1,5,3,4,3,0,2
727,2,2018,2019,0,0,0,1,1,6,3,4,4,0,2
728,2,2018,2019,0,0,0,1,1,6,2,4,4,0,2
729,2,2018,2019,0,0,0,1,1,6,3,4,4,0,2
730,2,2018,2018,0,0,0,0,1,3,0,3,4,0,2
731,2,2016,2017,0,0,0,1,1,4,3,3,4,0,4
732,2,2017,2018,0,0,1,0,1,6,0,6,5,0,3
733,2,2018,2018,0,0,1,1,1,6,6,2,5,0,4
734,2,2015,2016,0,0,1,0,0,2,4,3,5,0,2
735,2,2015,2016,0,0,1,0,0,2,4,3,4,0,2
736,2,2015,2016,0,0,1,0,1,3,3,3,5,0,2
737,2,2016,2016,0,0,1,0,1,3,4,3,5,0,3
738,2,2016,2017,0,0,1,1,1,6,6,3,5,0,3
739,2,2016,2017,0,0,1,1,1,6,4,3,4,0,2
740,2,2016,2016,0,0,1,0,1,2,2,3,5,0,2
741,2,2015,2016,0,0,1,0,1,3,4,3,4,0,3
742,2,2016,2017,0,0,1,1,1,6,4,3,4,0,2
743,2,2017,2017,0,0,1,1,1,4,4,3,5,0,1
744,2,2016,2016,0,0,1,1,1,6,4,3,4,0,2
745,2,2017,2017,0,0,1,0,0,2,4,3,5,0,2
746,2,2017,2018,0,1,1,0,0,1,0,3,5,0,1
747,2,2017,2018,0,0,1,1,0,3,4,3,5,0,2
748,2,2018,2018,0,0,1,1,1,4,2,7,3,1,0
749,2,2019,2019,0,0,1,0,1,5,0,7,5,1,0
750,2,2014,2015,0,0,1,0,1,4,5,1,5,0,2
751,2,2019,2019,0,1,1,0,0,1,0,3,4,0,4
752,2,2015,2015,0,0,0,0,0,1,3,3,4,1,0
753,2,2017,2018,1,0,0,1,1,6,4,6,4,1,0
754,2,2017,2017,0,0,1,1,1,6,3,3,4,0,2
755,2,2017,2018,0,0,1,1,1,6,6,2,5,0,4
756,2,2016,2016,0,0,0,1,1,3,5,5,5,0,3
757,2,2017,2017,0,0,1,1,1,6,3,3,4,1,0
758,2,2015,2016,0,0,1,0,0,2,2,4,3,0,2
759,2,2013,2015,0,0,0,1,1,3,2,6,3,1,0
760,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
761,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
762,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
763,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
764,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
765,2,2013,2015,0,0,0,0,0,1,2,6,3,1,0
766,2,2018,2019,0,0,0,0,0,1,2,1,5,1,0
767,2,2015,2016,0,0,1,0,1,2,0,5,5,1,0
768,2,2014,2015,0,0,1,1,1,4,2,3,4,0,2
769,2,2016,2017,0,0,1,1,0,3,3,4,4,0,2
770,2,2016,2017,0,0,1,1,0,3,3,4,4,0,2
771,2,2017,2017,0,0,1,1,1,6,3,3,4,0,2
772,2,2017,2017,0,0,1,1,1,6,3,3,4,0,2
773,2,2016,2017,0,0,1,1,1,6,5,3,5,0,3
774,2,2015,2016,0,0,1,0,1,6,4,4,5,0,3
775,2,2015,2016,0,0,1,0,1,3,4,4,5,0,2
776,2,2016,2017,0,0,1,1,1,6,0,3,5,0,2
777,2,2016,2017,0,0,1,0,1,5,6,3,4,1,0
778,2,2015,2015,0,0,1,1,0,3,3,3,5,0,2
779,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
780,2,2018,2019,0,0,1,0,0,1,2,3,3,0,1
781,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
782,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
783,2,2017,2018,0,0,1,0,0,2,0,3,5,0,2
784,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
785,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
786,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
787,2,2018,2019,0,0,1,0,0,1,0,1,4,0,1
788,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
789,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
790,2,2019,2019,0,0,1,0,0,1,2,7,5,1,0
791,2,2018,2018,0,0,1,0,0,1,2,7,4,0,2
792,2,2018,2018,0,0,1,0,0,2,2,7,4,0,1
793,2,2018,2018,0,0,1,0,0,1,2,7,4,0,1
794,2,2018,2019,0,0,1,0,0,1,2,1,4,1,0
795,2,2018,2019,0,0,1,0,0,1,2,3,5,0,1
796,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
797,2,2019,2019,0,0,1,1,0,1,2,5,5,1,0
798,2,2019,2019,0,0,1,0,0,2,2,5,5,0,1
799,2,2019,2019,0,0,1,0,0,1,2,5,5,0,1
800,2,2019,2019,0,0,1,0,0,2,2,5,5,0,1
801,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
802,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
803,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
804,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
805,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
806,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
807,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
808,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
809,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
810,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
811,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
812,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
813,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
814,2,2018,2018,0,0,1,0,0,1,2,7,4,0,1
815,2,2019,2019,0,0,1,0,0,1,2,5,5,1,0
816,2,2017,2019,0,0,1,0,0,2,2,1,5,0,1
817,2,2017,2019,0,0,1,0,0,2,2,1,5,0,2
818,2,2018,2019,0,0,1,0,0,1,2,3,3,0,1
819,2,2018,2019,0,0,1,0,0,1,2,3,3,0,1
820,2,2018,2018,0,0,1,0,0,1,2,5,3,0,1
821,2,2016,2016,0,0,1,0,0,1,3,3,5,0,2
822,2,2016,2017,0,0,1,0,0,2,3,3,4,1,0
823,2,2017,2018,0,0,1,0,1,3,3,3,5,0,2
824,2,2017,2017,0,0,1,0,0,2,4,3,5,0,3
825,2,2017,2017,0,0,1,1,1,6,4,5,5,0,3
826,2,2016,2017,0,0,0,1,1,3,4,1,5,1,0
827,2,2017,2019,0,0,0,0,1,3,4,1,5,0,2
828,2,2014,2015,0,0,0,1,1,6,4,3,4,0,2
829,2,2015,2015,0,0,0,1,1,6,3,3,4,1,0
830,2,2018,2019,0,0,1,0,0,1,2,1,5,0,1
831,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
832,2,2016,2017,0,0,1,0,0,2,1,3,5,0,2
833,2,2016,2016,0,0,1,0,0,2,2,3,5,0,2
834,2,2017,2018,0,0,1,1,1,5,2,3,4,0,2
835,2,2017,2018,0,0,1,1,1,4,3,3,4,0,2
836,2,2018,2019,0,0,1,0,0,1,2,3,5,0,1
837,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
838,2,2017,2017,0,0,1,0,0,2,0,1,5,0,2
839,2,2019,2019,0,0,1,0,0,1,2,2,5,0,1
840,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
841,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
842,2,2017,2017,0,0,1,0,0,1,0,1,5,0,2
843,2,2017,2017,0,0,1,0,0,1,2,5,4,1,0
844,2,2017,2017,0,0,1,0,0,1,0,1,5,0,2
845,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
846,2,2018,2019,0,0,1,0,0,2,0,1,3,0,1
847,2,2018,2018,0,0,1,0,0,1,2,3,5,0,2
848,2,2018,2018,0,0,1,0,0,2,2,3,5,0,2
849,2,2018,2018,0,0,1,0,0,2,2,3,5,0,2
850,2,2017,2017,0,0,1,0,0,2,2,1,5,0,2
851,2,2017,2017,0,0,1,0,0,1,0,1,5,0,2
852,2,2018,2018,0,0,1,0,0,1,2,3,5,1,0
853,2,2018,2019,0,0,1,0,0,1,2,3,5,0,1
854,2,2017,2017,0,0,1,0,0,2,0,1,5,0,2
855,2,2018,2018,0,0,1,0,0,2,0,5,5,0,1
856,2,2017,2018,0,0,1,1,1,6,2,1,4,0,2
857,2,2018,2018,0,0,1,1,0,3,0,1,4,0,1
858,2,2018,2018,0,0,1,1,1,6,0,1,3,0,1
859,2,2018,2018,0,0,1,0,0,1,2,3,5,0,1
