id,专利类型,案件受理年份,案件判决年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
97,1,2017,2018,0,0,1,0,1,6,4,2,5,0,2
98,1,2017,2018,0,0,1,0,1,6,4,2,5,0,2
99,1,2017,2017,0,1,1,0,0,1,0,2,5,0,5
100,1,2016,2017,0,0,1,0,1,6,2,2,5,0,2
101,1,2012,2015,0,0,1,1,1,6,2,4,5,0,2
102,1,2012,2015,0,0,1,0,0,2,2,4,4,0,2
103,1,2012,2015,0,0,1,1,1,6,2,4,4,0,2
104,1,2015,2018,0,0,1,0,1,6,6,2,5,1,0
105,1,2016,2016,0,0,1,0,1,6,5,2,5,0,5
106,1,2017,2017,0,0,1,0,1,5,5,2,5,0,5
107,1,2016,2017,0,0,1,1,1,6,0,1,1,0,4
108,1,2015,2017,0,0,1,1,1,6,0,2,5,1,0
109,1,2015,2018,0,0,1,0,1,6,6,2,4,0,5
110,1,2017,2018,0,0,1,0,1,6,0,3,4,1,0
111,1,2014,2017,0,0,1,0,1,6,6,2,5,0,4
112,1,2018,2019,0,0,1,0,1,6,1,4,5,0,1
113,1,2016,2017,0,0,1,1,1,6,7,3,5,0,7
114,1,2017,2018,0,0,1,0,1,5,4,2,5,1,0
115,1,2015,2016,0,0,1,1,1,6,5,3,5,0,3
116,1,2017,2018,0,0,1,0,1,6,4,3,5,0,4
117,1,2018,2019,0,1,1,0,1,2,0,3,4,0,4
118,1,2017,2017,0,0,1,0,1,6,0,4,5,0,3
119,1,2014,2015,0,0,1,0,1,6,4,3,5,0,3
120,1,2016,2017,0,0,1,0,1,6,5,3,5,0,5
121,1,2015,2015,0,0,1,0,1,6,4,3,5,0,4
122,1,2016,2017,0,0,0,0,1,5,0,4,4,0,4
123,1,2016,2019,1,0,1,0,1,4,7,2,5,1,0
124,1,2016,2016,0,0,1,0,1,4,0,3,5,0,6
125,1,2016,2016,0,0,0,0,0,1,0,1,5,0,4
