id,专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
39,1,2014,0,0,1,0,1,3,4,4,5,0,1-10万
40,1,2015,0,0,1,0,1,3,2,4,4,0,1-10万
41,1,2015,0,0,1,0,1,2,4,4,4,0,1-10万
42,1,2015,0,0,1,1,1,6,4,4,4,0,10-20万
43,1,2014,0,0,1,1,1,6,4,4,5,0,1-10万
44,1,2018,0,0,1,1,1,6,5,4,5,0,20-50万
45,1,2017,0,0,1,0,1,3,2,4,5,0,0-1万
46,1,2015,0,0,1,0,1,4,4,4,5,0,1-10万
47,1,2015,0,0,1,1,1,4,4,4,4,0,1-10万
48,1,2015,0,0,1,0,1,3,4,4,4,0,1-10万
49,1,2015,0,0,1,0,1,3,4,4,4,0,1-10万
50,1,2015,0,0,1,0,1,4,4,4,4,1,0万
51,1,2015,0,0,1,0,1,3,4,4,4,0,1-10万
52,1,2015,0,0,1,0,1,4,3,4,5,0,1-10万
53,1,2015,0,0,1,0,1,3,4,4,4,0,1-10万
54,1,2018,0,0,1,1,1,6,0,4,5,0,20-50万
55,1,2018,0,0,1,0,1,6,4,4,4,1,0万
56,1,2017,0,0,1,1,1,6,3,4,5,0,1-10万
57,1,2016,0,0,1,1,1,6,0,4,3,0,1-10万
58,1,2017,0,0,1,1,1,6,0,4,5,0,1-10万
59,1,2016,0,0,1,0,1,3,3,4,5,0,1-10万
60,1,2016,0,0,1,0,1,5,3,4,5,0,1-10万
61,1,2016,0,0,1,0,1,2,3,4,5,0,1-10万
62,1,2017,0,0,1,0,1,3,3,4,5,0,1-10万
63,1,2016,0,0,1,1,1,4,4,4,5,0,1-10万
64,1,2016,0,0,1,0,1,2,3,4,5,0,1-10万
65,1,2017,0,0,1,1,1,6,0,4,5,0,1-10万
66,1,2016,0,0,1,1,1,6,4,2,5,1,0万
67,1,2017,0,0,1,0,1,3,4,2,5,1,0万
68,1,2016,0,0,1,0,1,6,0,4,5,0,1-10万
69,1,2018,0,0,1,0,1,4,3,4,5,0,20-50万
70,1,2014,0,0,1,0,1,3,4,3,5,0,1-10万
71,1,2014,0,0,1,0,1,3,0,3,5,0,10-20万
72,1,2016,0,0,1,1,1,3,0,4,5,0,20-50万
73,1,2016,0,0,1,0,1,6,4,4,5,1,0万
74,1,2017,0,0,1,0,1,6,4,4,5,0,0-1万
75,1,2017,0,0,1,0,1,6,4,4,5,0,1-10万
76,1,2016,0,0,1,0,0,2,4,7,2,1,0万
77,1,2018,0,0,1,1,1,6,2,3,4,1,0万
78,1,2018,0,0,1,0,1,6,2,3,4,1,0万
79,1,2018,0,0,0,1,1,6,3,3,5,0,1-10万
80,1,2017,0,0,0,0,1,6,2,3,3,1,0万
81,1,2015,0,0,1,0,1,2,2,4,4,1,0万
82,1,2017,0,0,1,0,1,3,0,4,4,0,1-10万
83,1,2017,0,1,1,0,0,1,0,4,5,0,10-20万
84,1,2017,0,0,1,1,1,5,5,4,5,0,20-50万
85,1,2018,0,0,0,0,0,2,4,3,4,0,1-10万
86,1,2018,0,0,0,0,0,2,4,3,4,1,0万
87,1,2017,0,0,0,1,0,1,4,3,5,0,10-20万
88,1,2017,0,0,0,0,1,6,1,2,4,1,0万
89,1,2017,0,0,0,1,1,6,4,3,5,0,1-10万
90,1,2016,0,1,1,0,1,6,5,3,3,1,0万
91,1,2017,0,1,1,0,1,4,4,2,5,0,20-50万
92,1,2015,0,0,1,0,1,5,3,3,5,0,10-20万
93,1,2016,0,0,1,0,0,1,0,4,5,1,0万
94,1,2016,0,0,1,0,0,1,0,4,5,1,0万
95,1,2016,0,0,1,1,1,6,0,2,5,1,0万
96,1,2017,0,1,1,0,1,4,4,2,5,0,1-10万
97,1,2017,0,0,1,0,1,6,4,2,5,0,1-10万
98,1,2017,0,0,1,0,1,6,4,2,5,0,1-10万
99,1,2017,0,1,1,0,0,1,0,2,5,0,50-100万
100,1,2016,0,0,1,0,1,6,2,2,5,0,1-10万
101,1,2012,0,0,1,1,1,6,2,4,5,0,1-10万
102,1,2012,0,0,1,0,0,2,2,4,4,0,1-10万
103,1,2012,0,0,1,1,1,6,2,4,4,0,1-10万
104,1,2015,0,0,1,0,1,6,6,2,5,1,0万
105,1,2016,0,0,1,0,1,6,5,2,5,0,50-100万
106,1,2017,0,0,1,0,1,5,5,2,5,0,50-100万
107,1,2016,0,0,1,1,1,6,0,1,1,0,20-50万
108,1,2015,0,0,1,1,1,6,0,2,5,1,0万
109,1,2015,0,0,1,0,1,6,6,2,4,0,50-100万
110,1,2017,0,0,1,0,1,6,0,3,4,1,0万
111,1,2014,0,0,1,0,1,6,6,2,5,0,20-50万
112,1,2018,0,0,1,0,1,6,1,4,5,0,0-1万
113,1,2016,0,0,1,1,1,6,7,3,5,0,1000万+
114,1,2017,0,0,1,0,1,5,4,2,5,1,0万
115,1,2015,0,0,1,1,1,6,5,3,5,0,10-20万
116,1,2017,0,0,1,0,1,6,4,3,5,0,20-50万
117,1,2018,0,1,1,0,1,2,0,3,4,0,20-50万
118,1,2017,0,0,1,0,1,6,0,4,5,0,10-20万
119,1,2014,0,0,1,0,1,6,4,3,5,0,10-20万
120,1,2016,0,0,1,0,1,6,5,3,5,0,50-100万
121,1,2015,0,0,1,0,1,6,4,3,5,0,20-50万
122,1,2016,0,0,0,0,1,5,0,4,4,0,20-50万
123,1,2016,1,0,1,0,1,4,7,2,5,1,0万
124,1,2016,0,0,1,0,1,4,0,3,5,0,100-1000万
125,1,2016,0,0,0,0,0,1,0,1,5,0,20-50万
126,1,2015,0,0,0,0,0,1,0,3,5,0,10-20万
127,1,2014,0,0,0,0,1,2,4,1,5,0,1-10万
128,1,2014,0,0,1,1,0,1,0,3,4,1,0万
129,1,2014,0,0,1,0,0,1,0,3,4,1,0万
130,1,2014,0,0,1,0,0,1,0,3,4,1,0万
131,1,2015,0,0,1,0,1,2,4,6,4,1,0万
132,1,2015,0,0,0,0,0,1,0,1,5,1,0万
133,1,2018,0,0,1,0,0,2,0,4,4,1,0万
134,1,2016,0,1,0,0,1,6,6,4,5,0,20-50万
135,1,2015,0,0,1,1,1,6,5,3,5,0,1-10万
136,1,2014,0,0,1,1,1,5,5,7,5,0,10-20万
137,1,2015,0,0,1,1,1,6,5,3,4,1,0万
138,1,2015,0,0,1,1,1,6,5,3,4,1,0万
139,1,2014,0,0,1,1,1,6,5,3,4,1,0万
140,1,2015,0,0,1,0,1,2,5,4,4,0,1-10万
141,1,2015,0,0,1,1,1,6,5,1,4,1,0万
142,1,2016,1,0,1,1,1,3,4,4,5,0,1-10万
143,1,2017,1,0,1,1,1,3,4,4,5,0,1-10万
144,1,2018,0,0,0,1,1,3,4,3,5,0,10-20万
145,1,2016,0,0,0,1,1,6,0,2,5,1,0万
146,1,2016,0,1,0,0,0,6,2,3,5,0,10-20万
147,1,2017,0,1,0,0,0,1,4,3,5,0,1-10万
148,1,2017,0,0,0,1,1,6,0,3,5,1,0万
149,1,2017,0,1,0,0,1,6,5,7,3,1,0万
150,1,2016,0,0,1,0,0,1,0,4,4,1,0万
151,1,2018,0,0,1,1,1,5,0,6,5,0,50-100万
152,1,2016,0,0,0,1,1,6,0,4,5,1,0万
153,1,2018,0,0,1,0,1,3,5,2,5,0,1-10万
154,1,2017,0,0,1,0,1,3,5,2,5,0,50-100万
155,1,2017,0,0,1,1,1,6,6,3,5,0,50-100万
156,1,2015,0,0,1,0,0,2,0,3,5,0,10-20万
157,1,2015,0,0,1,1,1,6,0,3,5,0,10-20万
158,1,2012,0,0,0,0,1,6,2,3,4,1,0万
159,1,2018,0,0,1,0,0,1,0,6,4,1,0万
160,1,2014,0,0,1,0,1,6,5,5,3,1,0万
161,1,2015,0,0,1,0,1,3,3,4,5,0,10-20万
162,1,2015,0,0,1,1,1,6,0,3,5,0,10-20万
163,1,2015,0,0,1,1,1,6,0,3,5,0,10-20万
164,1,2016,0,0,0,0,1,5,3,3,4,1,0万
165,1,2016,0,0,0,0,0,3,5,3,4,1,0万
166,1,2016,0,0,0,0,0,2,5,3,4,1,0万
167,1,2016,0,0,0,0,1,6,5,3,4,1,0万
168,1,2018,0,0,0,0,1,3,2,7,5,1,0万
169,1,2016,0,0,0,1,1,6,0,7,5,1,0万
170,1,2016,0,0,0,0,1,5,5,3,4,1,0万
171,1,2016,0,0,0,1,1,3,4,1,4,1,0万
172,1,2017,0,0,1,1,1,6,5,3,5,0,10-20万
173,1,2018,0,0,1,0,1,6,5,3,5,1,0万
174,1,2018,0,0,1,1,1,6,5,3,4,0,20-50万
175,1,2017,0,0,1,1,1,6,7,3,3,1,0万
176,1,2017,0,0,1,1,1,6,7,3,4,1,0万
177,1,2018,0,0,1,0,0,1,2,3,3,0,0-1万
178,1,2018,0,0,1,0,0,1,2,5,3,0,0-1万
179,1,2017,0,0,1,1,1,6,5,3,5,0,20-50万
180,1,2018,0,0,1,0,0,1,5,3,5,0,1-10万
181,1,2015,0,0,1,0,1,2,4,3,5,0,10-20万
182,1,2015,0,0,1,0,1,2,5,3,5,0,10-20万
183,1,2015,0,0,1,0,1,2,4,3,5,0,10-20万
184,1,2015,0,0,1,0,1,2,3,3,5,0,10-20万
185,1,2017,0,0,1,1,1,6,5,3,5,0,20-50万
186,1,2017,0,0,1,1,1,6,5,3,5,0,1-10万
187,1,2015,0,0,1,0,1,2,2,3,5,0,1-10万
188,1,2015,0,0,1,0,1,3,0,3,5,0,10-20万
189,1,2014,0,0,1,0,0,2,5,3,5,0,10-20万
190,1,2016,0,0,1,0,1,3,6,3,5,0,10-20万
191,1,2017,0,0,1,0,0,1,5,3,5,0,50-100万
192,1,2017,1,0,1,1,1,6,6,3,5,1,0万
193,1,2015,0,0,1,1,1,6,5,2,5,0,10-20万
194,1,2016,0,0,0,1,1,3,4,4,5,0,1-10万
195,1,2015,0,0,0,0,0,1,0,3,2,0,50-100万
196,1,2018,0,0,1,0,1,6,5,3,4,0,50-100万
